ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
11707352,宁波奉化佳佳镀金厂,2016,11,金属表面处理及热处理加工,25724,1,0,,29.695938,121.426154
307918,湖南省长沙化工原料总公司,,0,化学原料和化学制品制造业,0,0,0,,28.402023,112.900260
176888,广西象州吉东锰业有限公司,,0,有色金属矿采选业,25054,0,0,,23.938531,109.688920
301330,淮安市福马再生资源有限公司,,0,,60709,0,0,,33.561090,119.229530
11707437,华鑫化纤科技集团有限公司,2007,2,化学纤维制造业,24736,1,0,,30.154620,121.139270
308721,安庆发投环保科技有限责任公司医疗废物集中处置中心,,0,环境治理业,0,0,0,,30.524053,116.891927
11707481,宁波钢铁有限公司,2016,8,黑色金属冶炼和压延加工业,8707,1,0,,29.708962,121.419370
177169,国电赤峰化工有限公司,2017,8,化学原料和化学制品制造业,3492,0,0,,42.252020,119.241970
177316,海南东方招金矿业有限公司,,0,有色金属矿采选业,27811,0,0,,18.887504,108.728834
315529,怀化南岭民用爆破服务有限公司,,0,炸药及火工产品制造,0,0,0,,27.503290,109.785470
318940,双鸭山杭氧龙泰气体有限公司,,0,,0,0,0,,46.735492,131.240283
320001,克拉玛依沃森环保科技有限公司,,0,,0,0,0,,45.572677,85.201848
320010,湖北省天银危险废物集中处置有限公司,,0,危险废物治理,0,0,0,,30.071126,112.368761
334526,新疆宝马实业有限责任公司尼勒克铜业分公司,,0,有色金属矿采选业,0,0,0,,43.882763,81.300537
334527,察布查尔县金威铅锌矿业有限公司,,0,有色金属矿采选业,0,0,0,,43.417890,81.301951
334561,奎屯市垃圾无害化处理厂,2017,1,环境卫生管理,0,0,0,,44.397320,84.979740
334579,库车畅源生态环保科技有限责任公司,,0,其他污染治理,0,0,0,,41.713380,83.109490
334675,上饶市风顺生活垃圾处理有限公司,2018,1,环境卫生管理,0,0,0,,28.414366,118.016504
11709106,沙钢集团安阳永兴特钢有限公司,2018,9,黑色金属冶炼和压延加工业,9666,1,0,,36.135450,114.165360
334739,崇仁县万鑫铜材有限公司,2016,1,有色金属冶炼和压延加工业,0,0,0,,27.764394,116.061101
177545,河北金万泰化肥有限责任公司,2017,14,其他肥料制造,4048,0,0,,38.333906,114.752827
335030,成都蓝翔硫酸钾厂,,0,肥料制造,0,0,0,,30.460763,103.689124
335035,自贡市大安区三兴金属加工厂,,0,金属加工机械制造,0,0,0,,29.389629,104.822965
335057,四川中正化学工业有限公司,,0,化学原料和化学制品制造业,0,0,0,,28.396315,104.772500
335072,荥经鑫磊有色金属洗选厂,,0,有色金属冶炼和压延加工业,0,0,0,,29.764606,102.530238
335081,康定县金鑫矿业旅游有限责任公司,2017,1,有色金属矿采选业,0,0,0,,30.084787,101.951192
335091,宁南县鑫丰矿业有限责任公司,2016,1,铅锌冶炼,0,0,0,,27.207255,102.830814
335094,昭觉国泰有限责任公司,,0,有色金属矿采选业,0,0,0,,28.004444,102.836887
335097,雷波县上田坝簸箕乡居普铅锌矿,,0,采矿业,0,0,0,,28.138293,103.409172
335099,雷波县卡哈洛黄家坡铅锌矿,,0,采矿业,0,0,0,,27.990713,103.475457
335100,雷波县锦新矿业开发有限责任公司,,0,有色金属矿采选业,0,0,0,,28.272227,103.589699
335104,四川西部聚鑫化工包装有限公司,2017,1,化学原料和化学制品制造业,0,0,0,,30.702780,104.341280
335118,康定县全坤矿业开发有限公司,,0,采矿业,0,0,0,,30.123458,102.175837
