ID,latitude,longitude,unknow,number,unknow1,unknow2
78973,34.298850,107.263150,0,190,12,1
226515,25.143320,102.091530,0,945,0,1
73462,33.938711,106.531933,0,55,12,1
105478,30.445376,120.670500,0,1008,0,1
129657,35.635718,110.583806,0,9,12,1
177404,35.630041,110.575181,0,1004,0,1
77328,33.123499,106.807752,0,545,0,1
11684991,35.110376,119.284549,0,54,12,1
87274,29.656268,115.988114,0,572,0,1
83827,40.117941,118.751264,0,9,12,1
98972,39.959942,118.563002,0,945,0,1
65976,29.621923,116.126767,0,478,0,1
24398,34.886599,108.996779,0,1004,0,1
113709,34.499585,109.415308,0,47,13,1
123159,37.005270,109.850423,0,431,0,1
152548,25.681716,104.083991,0,945,0,1
31364,39.464220,118.127110,0,945,0,1
119045,41.933363,123.562099,0,318,0,1
186177,25.550660,103.193630,0,441,0,1
120812,27.670540,120.337810,0,358,0,1
59763,36.885197,118.142905,0,186,12,1
206749,34.492165,107.228155,0,168,14,1
182870,33.825685,110.023653,0,545,0,1
159474,24.978571,102.784960,0,114,17,1
227345,39.996471,118.592069,0,184,12,1
282987,31.661389,117.869444,0,292,0,1
194428,28.382880,119.840975,0,197,15,1
189448,34.442820,119.821640,0,547,0,1
230794,36.757343,118.048612,0,540,0,1
259151,34.442710,117.287714,0,513,0,1
1335859,37.550130,121.311920,0,0,0,1
156179,38.278111,109.721695,0,9,12,1
1482307,24.050095,117.892622,0,369,0,1
11685049,34.534686,117.409744,0,945,0,1
119481,35.756670,112.904907,0,447,0,1
206996,28.285277,121.584862,0,56,6,1
